Indice,Time,PSolStatus,X,Y,Z,stdX,stdY,stdZ,VSolStatus,VX,VY,VZ,stdVX,stdVY,stdVZ,VLatency,SolAge,SolSatNumber
   76,2016-05-31 14:41:27.62,0,4918527.15575,-791232.419715,3969678.49974,9.63675022125,3.39971852303,4.91060733795,0,-0.0461868330076,-0.00421069111007,-0.0121194857265,1.15181195736,0.406344085932,0.586929857731,0.15000000596,0.0,5
   77,2016-05-31 14:41:27.72,0,4918527.16692,-791232.420976,3969678.50526,9.63700771332,3.39963054657,4.91045475006,0,0.0668260261336,0.0201701466949,-0.0252996128747,1.15184283257,0.406333565712,0.58691161871,0.15000000596,0.0,5
   78,2016-05-31 14:41:27.82,0,4918527.16501,-791232.405361,3969678.4944,9.63732814789,3.39956712723,4.91036128998,0,0.0889022875672,-0.0237349941049,0.0477296295139,1.15188109875,0.406325995922,0.586900413036,0.15000000596,0.0,5
   79,2016-05-31 14:41:27.92,0,4918527.15014,-791232.404572,3969678.49702,9.63758563995,3.39947843552,4.91020870209,0,-0.0689111910269,0.0206356000422,-0.00895387281344,1.15191185474,0.406315386295,0.586882174015,0.15000000596,0.0,5
   80,2016-05-31 14:41:28.02,0,4918527.15901,-791232.407818,3969678.497,9.63783168793,3.3994102478,4.91005945206,0,-0.0816941608082,-0.0262841786375,0.0339739303181,1.15194118023,0.406307250261,0.586864352226,0.15000000596,0.0,5
   81,2016-05-31 14:41:28.12,0,4918527.1945,-791232.407632,3969678.51238,9.63808917999,3.39931583405,4.90993452072,0,0.0760839774794,-0.0275503715061,0.0618099094345,1.15197205544,0.406295955181,0.58684939146,0.15000000596,0.0,5
   82,2016-05-31 14:41:28.22,0,4918527.2236,-791232.400295,3969678.50364,9.6383523941,3.39921545982,4.90978336334,0,0.0905725402317,-0.0377810634486,-0.0151161689464,1.15200352669,0.406283974648,0.586831331253,0.15000000596,0.0,5
   83,2016-05-31 14:41:28.32,0,4918527.20391,-791232.399573,3969678.5023,9.63867950439,3.39919018745,4.90960454941,0,0.107668866474,-0.00800088228561,0.0178351270324,1.15204250813,0.406280934811,0.58680999279,0.15000000596,0.0,5
   84,2016-05-31 14:41:28.42,0,4918527.23269,-791232.40522,3969678.50593,9.63894176483,3.39908838272,4.90945291519,0,0.162358478206,-0.0068766426707,0.0497512606416,1.15207386017,0.406268775463,0.586791872978,0.15000000596,0.0,5
   85,2016-05-31 14:41:28.52,0,4918527.25587,-791232.405799,3969678.51989,9.63904380798,3.39888763428,4.90922451019,0,0.217198735205,-0.0177052076692,-0.0424026683713,1.15208613873,0.406244754791,0.586764574051,0.15000000596,0.0,5
